[Thu Jan 03 17:58:28 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:58:28 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:58:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:58:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:58:40 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:58:40 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:58:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:58:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:58:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:58:52 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:58:58 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:58:58 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:59:04 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:59:04 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:59:10 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:59:10 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:59:16 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:59:16 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:59:22 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
[Thu Jan 03 17:59:22 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:59:28 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000021, referer: http://lab3.own/
[Thu Jan 03 17:59:28 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:59:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000022, referer: http://lab3.own/
[Thu Jan 03 17:59:34 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:59:41 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000018, referer: http://lab3.own/
[Thu Jan 03 17:59:41 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:59:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000019, referer: http://lab3.own/
[Thu Jan 03 17:59:46 1980] [error] [client 127.0.0.1] File does not exist: C:/WWW/lab3.own/web/upload/advertise/00000020, referer: http://lab3.own/
